,site,latitude,longitude
0,GC2381_T,55.88630723491306,-4.376194906434908
1,GC2381_R,55.88791083146969,-4.37786019327798
2,GC4151_E,55.859850564150236,-4.283489648996855
3,GC4151_A,55.8608948225885,-4.284365958508686
4,GB0501_A,55.85490068373861,-4.259519372285603
5,GB0751_V,55.84708106668321,-4.2610144172166216
6,GG1751_B,0.0,0.0
7,GD0351_B,55.87708647961258,-4.287475433401904
8,GD0351_A,55.88038589643985,-4.297071000505625
9,GG0401_V,55.862871060235996,-4.1990931697624605
10,GA4871_H,55.86034128841466,-4.240179386155298
11,GC1401_E,55.869042320465105,-4.29280457054792
12,GA5151_P,55.8569387815591,-4.2449050372045525
13,GA4501_V,55.86577968002779,-4.24849986694222
14,GC0151_A,55.86461833542953,-4.283737543619468
15,GH4601_F,55.83846655153768,-4.172001162280879
16,GB0301_D,55.85312123364121,-4.263426415815837
17,GH3101_V,55.841274634134294,-4.227054945785894
18,GB1101_B,55.85147429775186,-4.251795373003277
19,GJ3351_R,55.81863120470836,-4.256362339593715
20,GA4721_S,55.85617173990171,-4.248519911070388
21,GA2151_S,55.86381803876785,-4.255993857153411
22,GJ3201_R,55.824415626052996,-4.259491328371662
23,GA5471_D,55.865429441247855,-4.236157121242562
24,GG2751_A,55.851832996130206,-4.171868295482324
25,GG0021_A,55.866274011917426,-4.234191837483145
26,GL1901_T,55.8465731249378,-4.359822404393915
27,GE2151_V,55.87751512516915,-4.232327674886967
28,GH050A_S,55.85421786382005,-4.2145339944393285
29,GA4551_T,55.8612326826725,-4.248956214731358
30,GB0351_T,55.85212573722932,-4.263799903239597
31,GA5751_T,55.86923861751409,-4.238709782908749
32,GF0301_D,55.87810851407746,-4.190810017915082
33,GA4801_A,55.860046502106684,-4.250421761202082
34,GK0901_A,55.816878215974036,-4.289926164610442
35,GH3251_R,55.84298582118689,-4.217904346725376
36,GJ0301_R,55.820379836075325,-4.25167437821006
37,GK020A_C,55.84087991674137,-4.265398136614238
38,GA0601_V,55.86102226515053,-4.266299138880772
39,GA5551_D,55.85472534545321,-4.240607069305779
40,GG240A_A,55.8583431459003,-4.2125316422521255
41,GC1621_B,55.86924050999107,-4.308161178945728
42,GB0301_A,55.85243248855818,-4.264712471382824
43,GI1571_D,55.80580860890381,-4.232098042596065
44,GJ0071_R,55.83560766060047,-4.248562169709127
45,GC1351_B,55.86543668629364,-4.2866145197444485
46,GB1351_F,55.85171231500156,-4.2481184826685405
47,GB0701_D,55.85159769553717,-4.25927968434419
48,GK0551_R,55.83119757019917,-4.282560076550379
49,GA5251_V,55.85772588028365,-4.242649422412462
53,GA5251_S,55.85887234945319,-4.240398430222887
54,GB1321_N,55.84823488775151,-4.253972343846086
55,GA2701_B,55.8636094896864,-4.254623310621573
56,GG0021_B,55.86542163382194,-4.227669993143565
57,GB1201_A,55.84836128637019,-4.2563919684235225
58,GA1201_C,55.867494195510396,-4.26087421923302
59,GH3451_M,55.84394006774664,-4.215323069961597
60,GE2151_T,55.8808914206466,-4.233976515263664
61,GH4502_H,55.83512575699532,-4.171351721292332
62,GH2621_A,55.84506471201471,-4.194700764034135
63,GA4371_A,55.86316265056062,-4.2490837627946565
64,GJ0141_X,55.82869845154642,-4.247460766100899
65,GA4701_C,52.21324949527458,-4.0618034374559695
66,GK0801_H,55.82306308822964,-4.28695291080851
67,DD1701_C,55.89198288109072,-4.386650157412388
68,GH1001_C,55.853719920746975,-4.208737761770545
69,GA1301_P,0.0,0.0
70,GA4401_Y,55.86477919409067,-4.249640707541476
71,GB0051_W,55.853540292555245,-4.264585204313944
72,GD3051_C,55.87400206533204,-4.2632668103669165
73,GH2201_S,55.84890183931829,-4.215781178523725
74,GC2411_M,55.889992758957774,-4.382673577423567
75,GA5601_P,55.86397205902586,-4.237224044030398
76,GB0451_B,55.85373689021758,-4.25878073708297
77,GA1251_T,55.86841445512926,-4.260192455671685
78,GG1201_A,55.87393663528762,-4.158363765317664
79,GC1401_H,0.0,0.0
80,GC1401_G,55.86717461991006,-4.289817463685202
81,GB0151_F,55.8512897849695,-4.26429449092712
82,GJ2551_S,55.833077085042184,-4.264513091504816
83,GD0451_S,55.878115143327186,-4.290637604140634
84,GC2331_B,55.88331230879317,-4.350091473069663
85,GK0301_B,55.837862596822774,-4.2647754035653564
86,GC2151_A,55.876913699097315,-4.3420466351747615
87,GD2721_S,55.896706970909776,-4.2994914192201605
88,GL1691_S,55.84588300216375,-4.337128156919709
89,GG2351_V,55.857672880996226,-4.213819803951635
90,GA4851_R,52.21415502383497,-4.060410821801981
91,GA0251_A,55.86625907157404,-4.272789630918691
92,GA5471_B,55.8661546764245,-4.234824293822307
93,GG0021_C,55.86537274202821,-4.229872766495637
94,GL0401_V,55.85343732385329,-4.270171396142665
95,GA2001_B,55.86152788882549,-4.256883840179388
96,GG220A_B,55.858406263562145,-4.2190069285042595
97,GG220A_A,55.858292854134255,-4.223794303736367
98,GG3001_C,55.85205108650491,-4.163061327514063
99,GA5501_A,55.86888802928426,-4.2357485677687325
100,GA5451_R,55.866207413911425,-4.233404856342572
101,GG0951_A,0.0,0.0
102,GL0051_R,55.84992046843456,-4.272266850188669
103,GG0251_Y,55.86252738679095,-4.2042356510590215
104,GE0351_T,55.890819366914215,-4.2592562798354185
105,GA4101_B,55.8606487540426,-4.249433839780979
106,GJ0301_V,55.81935911758754,-4.2504819810554455
107,GA1251_R,55.87419567141074,-4.2615355849551895
108,GG2001_V,55.85952965663585,-4.2373681074853655
109,GA5301_E,0.0,0.0
110,GL1401_R,55.84608873236886,-4.3352874160952535
111,GG240A_B,55.85797950054643,-4.206758417445717
112,GG0351_B,55.86222293174097,-4.1981456183215125
113,GJ2701_S,55.840519932148716,-4.255154897631233
114,GH2701_D,55.84080770040453,-4.183424044457551
115,GA1501_T,55.85679614368984,-4.2610355862583935
116,GL1351_B,55.84707780613935,-4.327678599015886
117,GC1751_P,55.871657089716436,-4.313004289669034
118,GA5401_T,55.864666308936656,-4.236113254625863
119,GD0551_S,55.88255516063674,-4.3036270676697965
120,GJ0171_B,55.82875655576005,-4.24280162342768
121,GG2571_R,55.85504130964139,-4.198187342342337
122,GD1351_Q,55.87685428619535,-4.325751724832818
123,GD2151_S,55.87740955674705,-4.271490883106496
124,GJ0051_A,55.83583161568193,-4.2500763150340575
125,GG2021_C,55.859329614891465,-4.235023530458967
126,GA5501_D,55.86958923585304,-4.23375888472578
127,GA1331_V,55.85999320396004,-4.262148229588757
128,GD025A_B,55.875622009411785,-4.2826092123711526
129,GA0351_C,55.86774502347543,-4.271166214927868
130,GJ3301_B,55.82028845142232,-4.250775113480551
131,GG1101_S,55.869034246707436,-4.155022867360321
132,GH002A_S,55.85560650193221,-4.238117230640115
133,GJ3551_T,55.819078294291884,-4.260889944193136
134,GL1821_R,55.84575359406552,-4.349580753000241
135,GE0101_A,55.88114068661429,-4.254312806621951
136,GA4801_B,55.85966494429015,-4.247203662627562
137,GG1751_C,0.0,0.0
138,GK0901_D,55.817204393235734,-4.2878541920912765
139,GL1701_E,55.84663387723303,-4.343483433286647
140,GJ0301_S,55.82023472303351,-4.249782243544061
141,GA5151_T,55.85745246612139,-4.242857373616797
142,GJ3651_E,55.816575744683284,-4.262085612883242
143,GJ3651_B,55.81711083867646,-4.261334497999337
144,GG225A_R,55.858456046199436,-4.216245309231471
145,GF2251_X,55.87423249854093,-4.184884691184675
146,GC1621_F,55.86922308807458,-4.310525825398453
147,GJ2701_T,55.84648108493082,-4.255020978886085
148,GB1351_C,55.84993067425591,-4.251674117704976
