From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GA2351,GB0501,D,GA2351,GB0501_D,False,258786.0,664880.0,258742.0,664697.0
GB0501,GB0551,T,GB0501,GB0551_T,False,258742.0,664697.0,258717.0,664588.0
GB0551,GB0601,D,GB0551,GB0601_D,False,258717.0,664588.0,258689.0,664478.0
GB0651,GB0601,C,GB0651,GB0601_C,False,258662.0,664368.0,258689.0,664478.0
GB105A,GB0601,B,GB105A,GB0601_B,False,258872.0,664429.0,258689.0,664478.0
GB0601,GB0651,T,GB0601,GB0651_T,False,258689.0,664478.0,258662.0,664368.0
GB0701,GB0651,V,GB0701,GB0651_V,False,258634.0,664264.0,258662.0,664368.0
GB0301,GB0651,R,GB0301,GB0651_R,False,258381.0,664439.0,258662.0,664368.0
GB0651,GB0701,D,GB0651,GB0701_D,False,258662.0,664368.0,258634.0,664264.0
GB0751,GB0701,C,GB0751,GB0701_C,False,258584.0,664045.0,258634.0,664264.0
GA0301,GA0351,C,GA0301,GA0351_C,False,257969.0,666156.0,258164.0,666469.0
GD200A,GA0351,A,GD200A,GA0351_A,False,258131.0,666585.0,258164.0,666469.0
GB0701,GB0751,T,GB0701,GB0751_T,False,258634.0,664264.0,258584.0,664045.0
GK0051,GB0751,V,GK0051,GB0751_V,False,258518.0,663770.0,258584.0,664045.0
GB1201,GB0751,S,GB1201,GB0751_S,False,258922.0,663963.0,258584.0,664045.0
GB1101,GB105A,S,GB1101,GB105A_S,False,259055.0,664373.0,258872.0,664429.0
GB105A,GB1101,A,GB105A,GB1101_A,False,258872.0,664429.0,259055.0,664373.0
GB1371,GB1101,B,GB1371,GB1101_B,False,259185.0,664292.0,259055.0,664373.0
GB1151,GB1101,C,GB1151,GB1101_C,False,258996.0,664192.0,259055.0,664373.0
GB1101,GB1151,T,GB1101,GB1151_T,False,259055.0,664373.0,258996.0,664192.0
GB1201,GB1151,V,GB1201,GB1151_V,False,258922.0,663963.0,258996.0,664192.0
GB1321,GB1151,S,GB1321,GB1151_S,False,259105.0,664138.0,258996.0,664192.0
GB1151,GB1201,D,GB1151,GB1201_D,False,258996.0,664192.0,258922.0,663963.0
GB1271,GB1201,E,GB1271,GB1201_E,False,258913.0,663626.0,258922.0,663963.0
GB0751,GB1201,A,GB0751,GB1201_A,False,258584.0,664045.0,258922.0,663963.0
GB1281,GB1271,C,GB1281,GB1271_C,False,258890.0,663458.0,258913.0,663626.0
GB1551,GB1271,B,GB1551,GB1271_B,False,259196.0,663660.0,258913.0,663626.0
GB1301,GB1271,D,GB1301,GB1271_D,False,258979.0,663951.0,258913.0,663626.0
GB1271,GB1281,L,GB1271,GB1281_L,False,258913.0,663626.0,258890.0,663458.0
GJ2701,GB1281,K,GJ2701,GB1281_K,False,258817.0,663155.0,258890.0,663458.0
GB1271,GB1301,V,GB1271,GB1301_V,False,258913.0,663626.0,258979.0,663951.0
GB1321,GB1301,T,GB1321,GB1301_T,False,259105.0,664138.0,258979.0,663951.0
GB1201,GB1301,R,GB1201,GB1301_R,False,258922.0,663963.0,258979.0,663951.0
GB1201,GB1301,X,GB1201,GB1301_X,False,258922.0,663963.0,258979.0,663951.0
GB1351,GB1321,M,GB1351,GB1321_M,False,259298.0,664230.0,259105.0,664138.0
GB1301,GB1321,N,GB1301,GB1321_N,False,258979.0,663951.0,259105.0,664138.0
GB1371,GB1351,A,GB1371,GB1351_A,False,259185.0,664292.0,259298.0,664230.0
GB1321,GB1351,C,GB1321,GB1351_C,False,259105.0,664138.0,259298.0,664230.0
GB145B,GB1351,B,GB145B,GB1351_B,False,259600.0,664036.0,259298.0,664230.0
GA0651,GA0401,S,GA0651,GA0401_S,False,258294.0,665584.0,258130.0,665622.0
GA0451,GA0401,T,GA0451,GA0401_T,False,258154.0,665888.0,258130.0,665622.0
GA0151,GA0401,R,GA0151,GA0401_R,False,258001.0,665649.0,258130.0,665622.0
GB1101,GB1371,R,GB1101,GB1371_R,False,259055.0,664373.0,259185.0,664292.0
GB1351,GB1371,S,GB1351,GB1371_S,False,259298.0,664230.0,259185.0,664292.0
GA5001,GB140A,M,GA5001,GB140A_M,False,259447.0,664506.0,259382.0,664385.0
GB1351,GB140A,N,GB1351,GB140A_N,False,259298.0,664230.0,259382.0,664385.0
GB1351,GB145A,R,GB1351,GB145A_R,False,259298.0,664230.0,259602.0,664048.0
GB1601,GB145B,S,GB1601,GB145B_S,False,259859.0,663869.0,259600.0,664036.0
GB1271,GB1551,R,GB1271,GB1551_R,False,258913.0,663626.0,259196.0,663660.0
GI0051,GB1551,S,GI0051,GB1551_S,False,259304.0,663623.0,259196.0,663660.0
GB145A,GB1601,A,GB145A,GB1601_A,False,259602.0,664048.0,259859.0,663869.0
GB165A,GB1601,B,GB165A,GB1601_B,False,259965.0,663797.0,259859.0,663869.0
GB1601,GB165A,R,GB1601,GB165A_R,False,259859.0,663869.0,259965.0,663797.0
GH3051,GB165A,S,GH3051,GB165A_S,False,260359.0,663816.0,259965.0,663797.0
GA0151,GC0051,E,GA0151,GC0051_E,False,258001.0,665649.0,257696.0,665662.0
GC095A,GC0051,G,GC095A,GC0051_G,False,257683.0,665756.0,257696.0,665662.0
GC0151,GC0051,D,GC0151,GC0051_D,False,257394.0,665716.0,257696.0,665662.0
GC012A,GC0101,T,GC012A,GC0101_T,False,257353.0,665507.0,257331.0,665402.0
GC012A,GC0101,L,GC012A,GC0101_L,False,257353.0,665507.0,257331.0,665402.0
GC4151,GC0101,V,GC4151,GC0101_V,False,257191.0,665398.0,257331.0,665402.0
GC4151,GC0101,W,GC4151,GC0101_W,False,257191.0,665398.0,257331.0,665402.0
GC0101,GC012A,M,GC0101,GC012A_M,False,257331.0,665402.0,257353.0,665507.0
GC0151,GC012A,N,GC0151,GC012A_N,False,257394.0,665716.0,257353.0,665507.0
GA0401,GA0451,M,GA0401,GA0451_M,False,258130.0,665622.0,258154.0,665888.0
GC120A,GC0151,A,GC120A,GC0151_A,False,257159.0,665862.0,257394.0,665716.0
GC0051,GC0151,B,GC0051,GC0151_B,False,257696.0,665662.0,257394.0,665716.0
GC012A,GC0151,E,GC012A,GC0151_E,False,257353.0,665507.0,257394.0,665716.0
GC0251,GC0201,C,GC0251,GC0201_C,False,257283.0,665089.0,257306.0,665250.0
GC0101,GC0201,D,GC0101,GC0201_D,False,257331.0,665402.0,257306.0,665250.0
GC0101,GC0201,G,GC0101,GC0201_G,False,257331.0,665402.0,257306.0,665250.0
GL285A,GC0251,V,GL285A,GC0251_V,False,257128.0,664954.0,257283.0,665089.0
GC4051,GC0251,R,GC4051,GC0251_R,False,257142.0,665205.0,257283.0,665089.0
GL285B,GC0251,M,GL285B,GC0251_M,False,257125.0,664965.0,257283.0,665089.0
GC0201,GC0251,T,GC0201,GC0251_T,False,257306.0,665250.0,257283.0,665089.0
GC0201,GC0251,W,GC0201,GC0251_W,False,257306.0,665250.0,257283.0,665089.0
GC420A,GC0251,H,GC420A,GC0251_H,False,257681.0,664990.0,257283.0,665089.0
GC0301,GC0271,A,GC0301,GC0271_A,False,255621.0,666292.0,255904.0,666123.0
GC0321,GC0301,R,GC0321,GC0301_R,False,255498.0,666274.0,255621.0,666292.0
GC1621,GC0301,T,GC1621,GC0301_T,False,255598.0,666413.0,255621.0,666292.0
GC0301,GC0321,B,GC0301,GC0321_B,False,255621.0,666292.0,255498.0,666274.0
GC1621,GC0321,D,GC1621,GC0321_D,False,255598.0,666413.0,255498.0,666274.0
GC0051,GC095A,V,GC0051,GC095A_V,False,257696.0,665662.0,257683.0,665756.0
GC125A,GC120A,G,GC125A,GC120A_G,False,257025.0,665940.0,257159.0,665862.0
GC0151,GC120A,H,GC0151,GC120A_H,False,257394.0,665716.0,257159.0,665862.0
GC1351,GC125A,E,GC1351,GC125A_E,False,256836.0,666053.0,257025.0,665940.0
GC120A,GC125A,F,GC120A,GC125A_F,False,257159.0,665862.0,257025.0,665940.0
GC1401,GC1301,R,GC1401,GC1301_R,False,256728.0,666191.0,256873.0,666115.0
GC1351,GC1301,V,GC1351,GC1301_V,False,256836.0,666053.0,256873.0,666115.0
GA1351,GA0561,B,GA1351,GA0561_B,False,258482.0,665170.0,258300.0,665206.0
GC1301,GC1351,D,GC1301,GC1351_D,False,256873.0,666115.0,256836.0,666053.0
GC1401,GC1351,A,GC1401,GC1351_A,False,256728.0,666191.0,256836.0,666053.0
GC125A,GC1351,B,GC125A,GC1351_B,False,257025.0,665940.0,256836.0,666053.0
GC1301,GC1401,G,GC1301,GC1401_G,False,256873.0,666115.0,256728.0,666191.0
GC1351,GC1401,H,GC1351,GC1401_H,False,256836.0,666053.0,256728.0,666191.0
GC152A,GC1401,E,GC152A,GC1401_E,False,256588.0,666397.0,256728.0,666191.0
GC152A,GC1401,F,GC152A,GC1401_F,False,256588.0,666397.0,256728.0,666191.0
GC155A,GC152A,C,GC155A,GC152A_C,False,256453.0,666471.0,256588.0,666397.0
GC1401,GC152A,D,GC1401,GC152A_D,False,256728.0,666191.0,256588.0,666397.0
GC1601,GC155A,A,GC1601,GC155A_A,False,256211.0,666538.0,256453.0,666471.0
GC152A,GC155A,B,GC152A,GC155A_B,False,256588.0,666397.0,256453.0,666471.0
GC155A,GC1601,S,GC155A,GC1601_S,False,256453.0,666471.0,256211.0,666538.0
GC165A,GC1601,R,GC165A,GC1601_R,False,256043.0,666582.0,256211.0,666538.0
GD0971,GC1601,P,GD0971,GC1601_P,False,256374.0,666741.0,256211.0,666538.0
GC1631,GC1621,A,GC1631,GC1621_A,False,255497.0,666391.0,255598.0,666413.0
GC1631,GC1621,F,GC1631,GC1621_F,False,255497.0,666391.0,255598.0,666413.0
GC0321,GC1631,V,GC0321,GC1631_V,False,255498.0,666274.0,255497.0,666391.0
GC0321,GC1631,X,GC0321,GC1631_X,False,255498.0,666274.0,255497.0,666391.0
GC168A,GC165A,A,GC168A,GC165A_A,False,255890.0,666586.0,256043.0,666582.0
GC1601,GC165A,B,GC1601,GC165A_B,False,256211.0,666538.0,256043.0,666582.0
GC165A,GC168A,S,GC165A,GC168A_S,False,256043.0,666582.0,255890.0,666586.0
GC1701,GC168A,R,GC1701,GC168A_R,False,255612.0,666590.0,255890.0,666586.0
GC168A,GC1701,B,GC168A,GC1701_B,False,255890.0,666586.0,255612.0,666590.0
GC1751,GC1701,A,GC1751,GC1701_A,False,255391.0,666593.0,255612.0,666590.0
GA1051,GA0571,N,GA1051,GA0571_N,False,258433.0,665365.0,258342.0,665385.0
GA0561,GA0571,V,GA0561,GA0571_V,False,258300.0,665206.0,258342.0,665385.0
GC1701,GC1751,S,GC1701,GC1751_S,False,255612.0,666590.0,255391.0,666593.0
GC180A,GC1751,R,GC180A,GC1751_R,False,255161.0,666596.0,255391.0,666593.0
GC1751,GC180A,B,GC1751,GC180A_B,False,255391.0,666593.0,255161.0,666596.0
GC185A,GC180A,A,GC185A,GC180A_A,False,255014.0,666600.0,255161.0,666596.0
GC180A,GC185A,S,GC180A,GC185A_S,False,255161.0,666596.0,255014.0,666600.0
GC2381,GC237A,M,GC2381,GC237A_M,False,251523.0,668519.0,251748.0,668340.0
GC2401,GC2381,R,GC2401,GC2381_R,False,251351.0,668658.0,251523.0,668519.0
GC237A,GC2381,S,GC237A,GC2381_S,False,251748.0,668340.0,251523.0,668519.0
GC2411,GC2401,A,GC2411,GC2401_A,False,251267.0,668724.0,251351.0,668658.0
GC2381,GC2401,B,GC2381,GC2401_B,False,251523.0,668519.0,251351.0,668658.0
GA0571,GA058A,B,GA0571,GA058A_B,False,258342.0,665385.0,258265.0,665399.0
GA0571,GA058A,C,GA0571,GA058A_C,False,258342.0,665385.0,258265.0,665399.0
GC242A,GC2411,M,GC242A,GC2411_M,False,251060.0,668894.0,251267.0,668724.0
GC2401,GC2411,N,GC2401,GC2411_N,False,251351.0,668658.0,251267.0,668724.0
GC2411,GC242A,S,GC2411,GC242A_S,False,251267.0,668724.0,251060.0,668894.0
GC0251,GC4051,B,GC0251,GC4051_B,False,257283.0,665089.0,257142.0,665205.0
GC4101,GC4051,D,GC4101,GC4051_D,False,257165.0,665285.0,257142.0,665205.0
GC4051,GC4101,V,GC4051,GC4101_V,False,257142.0,665205.0,257165.0,665285.0
GC0201,GC4101,S,GC0201,GC4101_S,False,257306.0,665250.0,257165.0,665285.0
GC0201,GC4101,Y,GC0201,GC4101_Y,False,257306.0,665250.0,257165.0,665285.0
GC4101,GC4151,C,GC4101,GC4151_C,False,257165.0,665285.0,257191.0,665398.0
GC4101,GC4151,E,GC4101,GC4151_E,False,257165.0,665285.0,257191.0,665398.0
GC4251,GC420A,S,GC4251,GC420A_S,False,257794.0,664957.0,257681.0,664990.0
GC0251,GC420A,G,GC0251,GC420A_G,False,257283.0,665089.0,257681.0,664990.0
GA0101,GC4251,D,GA0101,GC4251_D,False,258005.0,664949.0,257794.0,664957.0
GD0101,GD005A,R,GD0101,GD005A_R,False,257771.0,666779.0,257948.0,666670.0
GD005A,GD0101,B,GD005A,GD0101_B,False,257948.0,666670.0,257771.0,666779.0
GD0151,GD0101,A,GD0151,GD0101_A,False,257572.0,666903.0,257771.0,666779.0
GD0101,GD0151,S,GD0101,GD0151_S,False,257771.0,666779.0,257572.0,666903.0
GD019A,GD0151,R,GD019A,GD0151_R,False,257426.0,666994.0,257572.0,666903.0
GA058A,GA0601,V,GA058A,GA0601_V,False,258265.0,665399.0,258272.0,665497.0
GA0651,GA0601,T,GA0651,GA0601_T,False,258294.0,665584.0,258272.0,665497.0
GD0151,GD019A,B,GD0151,GD019A_B,False,257572.0,666903.0,257426.0,666994.0
GD0201,GD019A,A,GD0201,GD019A_A,False,257309.0,667068.0,257426.0,666994.0
GD019A,GD0201,S,GD019A,GD0201_S,False,257426.0,666994.0,257309.0,667068.0
GD025A,GD0201,R,GD025A,GD0201_R,False,257119.0,667176.0,257309.0,667068.0
GD0201,GD025A,B,GD0201,GD025A_B,False,257309.0,667068.0,257119.0,667176.0
GD030A,GD025A,A,GD030A,GD025A_A,False,257014.0,667246.0,257119.0,667176.0
GD025A,GD030A,S,GD025A,GD030A_S,False,257119.0,667176.0,257014.0,667246.0
GD0351,GD030A,R,GD0351,GD030A_R,False,256839.0,667343.0,257014.0,667246.0
GD030A,GD0351,B,GD030A,GD0351_B,False,257014.0,667246.0,256839.0,667343.0
GD0451,GD0351,A,GD0451,GD0351_A,False,256379.0,667644.0,256839.0,667343.0
GD107A,GD0351,C,GD107A,GD0351_C,False,256726.0,667243.0,256839.0,667343.0
GD0351,GD0451,S,GD0351,GD0451_S,False,256839.0,667343.0,256379.0,667644.0
GD0501,GD0451,R,GD0501,GD0451_R,False,256017.0,667882.0,256379.0,667644.0
GD0451,GD0501,B,GD0451,GD0501_B,False,256379.0,667644.0,256017.0,667882.0
GD0551,GD0501,A,GD0551,GD0501_A,False,255616.0,668132.0,256017.0,667882.0
GD0501,GD0551,S,GD0501,GD0551_S,False,256017.0,667882.0,255616.0,668132.0
GD0601,GD0551,R,GD0601,GD0551_R,False,255144.0,668470.0,255616.0,668132.0
GD0551,GD0601,B,GD0551,GD0601_B,False,255616.0,668132.0,255144.0,668470.0
GD0651,GD0601,A,GD0651,GD0601_A,False,254930.0,668601.0,255144.0,668470.0
GD0601,GD0651,S,GD0601,GD0651_S,False,255144.0,668470.0,254930.0,668601.0
GD0671,GD0651,R,GD0671,GD0651_R,False,254839.0,668671.0,254930.0,668601.0
GA0401,GA0651,A,GA0401,GA0651_A,False,258130.0,665622.0,258294.0,665584.0
GA070A,GA0651,B,GA070A,GA0651_B,False,258448.0,665547.0,258294.0,665584.0
GA070A,GA0651,C,GA070A,GA0651_C,False,258448.0,665547.0,258294.0,665584.0
GA0601,GA0651,D,GA0601,GA0651_D,False,258272.0,665497.0,258294.0,665584.0
GD0651,GD0671,B,GD0651,GD0671_B,False,254930.0,668601.0,254839.0,668671.0
GA0301,GD0801,B,GA0301,GD0801_B,False,257969.0,666156.0,257857.0,666274.0
GC1601,GD0971,C,GC1601,GD0971_C,False,256211.0,666538.0,256374.0,666741.0
GD1001,GD0971,D,GD1001,GD0971_D,False,256507.0,666926.0,256374.0,666741.0
GD105A,GD1001,T,GD105A,GD1001_T,False,256618.0,667094.0,256507.0,666926.0
GD0971,GD1001,V,GD0971,GD1001_V,False,256374.0,666741.0,256507.0,666926.0
GD1001,GD105A,Q,GD1001,GD105A_Q,False,256507.0,666926.0,256618.0,667094.0
GD107A,GD105A,P,GD107A,GD105A_P,False,256726.0,667243.0,256618.0,667094.0
GD0351,GD107A,M,GD0351,GD107A_M,False,256839.0,667343.0,256726.0,667243.0
GD105A,GD107A,N,GD105A,GD107A_N,False,256618.0,667094.0,256726.0,667243.0
GD1301,GD1251,R,GD1301,GD1251_R,False,254799.0,667404.0,254985.0,667160.0
GD1401,GD1301,A,GD1401,GD1301_A,False,254600.0,667707.0,254799.0,667404.0
