,site,eastings,northings,latitude,longitude
91,GA350U,259197,665932,55.865993939900534,-4.250276045005217
92,GA400U,259162,664948,55.85714836720685,-4.25032388278939
93,GA4051,259096,665044,55.85799107459642,-4.2514273910330145
94,GA4052,259017,665057,55.858084713861196,-4.252695349515007
95,GA4081,259158,665284,55.860164149450156,-4.250562213416748
96,GA4101,259180,665371,55.860951748894735,-4.2502561471870655
97,GA412A,259124,665482,55.861932062288766,-4.251207894994071
98,GA4151,259201,665461,55.86176599265007,-4.2499675927417355
99,GA4201,259270,666253,55.86889751728618,-4.24927703355741
100,GA4251,259208,666366,55.86989404138961,-4.25032581237961
101,GA4301,259278,665442,55.861617868465245,-4.248728338605618
102,GA4351,259321,665619,55.86321970327241,-4.248133621573265
103,GA4371,259392,665604,55.86310572748499,-4.246992202000348
104,GA4401,259357,665771,55.864595017676486,-4.247637660972333
105,GA4451,259387,665891,55.86568125130286,-4.2472208769396556
106,GA4501,259435,666058,55.86719474644478,-4.246541012443495
107,GA452U,259647,666188,55.86842378857746,-4.243223011011975
108,GA4551,259328,665336,55.860680680149635,-4.247875048454153
109,GA4601,259348,665424,55.861476669006336,-4.2476013746425965
110,GA4651,259224,664668,55.854652340147624,-4.249188797099965
111,GA4701,259252,664768,55.855558415083074,-4.248793706558077
112,GA4721,259280,664878,55.85655427912904,-4.248403785614003
113,GA4751,259307,664990,55.85756780830298,-4.24803084716677
114,GA475A,259403,664963,55.857353370347,-4.246484263681351
115,GA4771,259335,665129,55.85882406201477,-4.247655927722936
116,GA4801,259360,665245,55.859872921788636,-4.24731695458268
117,GA482U,259556,665205,55.859570881687276,-4.244167016202059
118,GA4831,259458,664808,55.855977648069704,-4.24552591741003
119,GA4851,259496,664938,55.857155996925556,-4.2449866256256135
120,GA4861,259416,0,49.88304880941147,-3.957134469678073
121,GA4871,259560,665371,55.861062569801774,-4.244189116285285
122,GA4901,259590,665589,55.86302874012859,-4.2438230156041925
123,GA492A,259753,665594,55.863121073554574,-4.241223019652289
124,GA495A,259853,665593,55.86314117041866,-4.23962582099882
125,GA4971,259909,665592,55.86314846481457,-4.238731161468752
126,GA5001,259447,664506,55.853262768066955,-4.245545062549445
127,GA5051,259526,664676,55.85481222221251,-4.244372026367096
128,GA5052,259501,664616,55.854266196878804,-4.244740038263641
129,GA510A,259604,664807,55.85601119087476,-4.243194677992421
130,GA5151,259662,664889,55.856764354826375,-4.242311194743741
131,GA5171,259564,664917,55.856987242342065,-4.243890179359654
132,GA5201,259716,664985,55.85764205619605,-4.24149877597668
133,GA5251,259809,665147,55.859123710597316,-4.24009780237107
134,GA5301,259911,665287,55.860410424294535,-4.238541666806672
135,GA533A,259735,665329,55.86073638422189,-4.241373351618632
136,GA5351,260114,665486,55.86225619680923,-4.235403269885799
137,GA5371,260110,665568,55.86299132299468,-4.235509438687962
138,GA5401,260106,665646,55.863690532562444,-4.235613548116906
139,GA5451,260265,665940,55.86637649828953,-4.233226301988971
140,GA5471,260148,665806,55.865139373398,-4.235025458667364
141,GA5501,260279,666217,55.86886776999212,-4.233145520117892
142,GA5551,259801,664705,55.85515262940083,-4.239997077312865
143,GA5601,260074,665730,55.86443549142875,-4.236167844716605
144,GA5651,259846,664796,55.85598280514587,-4.239325730661856
145,GA5701,259857,664653,55.85470199115576,-4.23907625651417
146,GA5751,260061,666233,55.86894820226907,-4.236635069763595
147,GB0051,258354,664672,55.85443354818292,-4.263078795774447
148,GB0101,258327,664566,55.85347385017746,-4.263454446242241
