FEID,EASTINGS,NORTHINGS
GD143A,254577,667845
GD143B,254588,667848
GD1451,254609,668039
GD1471,254086,668001
GD1501,254632,668251
GD1601,254743,669083
GD1621,254570,668854
GD1631,254535,668790
GD1641,254625,668735
GD1651,254624,668808
GD168A,254409,668981
GD168B,254409,668956
GD1701,254811,669184
GD172U,254348,669433
GD173U,254623,669287
GD174U,254062,669453
GD1751,253734,669299
GD176U,254122,669158
GD176U,254127,669180
GD1801,255017,669716
GD200A,258131,666585
GD205A,258112,666726
GD207A,258030,666951
GD2091,258007,667133
GD210A,257997,667243
GD2151,257949,667543
GD217A,257793,667631
GD220U,258154,667397
GD222U,258289,668018
GD2251,257544,667806
GD2301,257438,668044
GD234A,258065,668432
GD235U,257203,667636
GD237A,257310,668192
GD2451,257096,668449
GD246A,257006,668584
GD247U,256991,668367
GD255A,256892,668752
GD2571,257126,668992
GD2601,256627,668932
GD2651,256434,669155
GD2701,256322,669437
GD271A,256232,669605
GD2721,256122,669751
GD275A,255631,670196
GD275B,255634,670212
GD3051,258585,666900
GD307A,258384,666789
GD309U,258649,666534
GD310A,258833,667209
GD400U,252488,668344
GD405U,253062,668320
GD4071,251561,669523
GD4101,253006,668735
GD412U,252141,669184
GD4151,253195,669295
GD420U,252971,669409
GD422U,252654,669578
GD425U,254149,668785
GD426U,254157,668777
GD430U,253866,668734
GD505A,253196,669973
GD505B,253188,669948
GD510A,252618,670035
GD510B,252628,670013
GD515A,252380,670014
GD515B,252388,669992
GD520A,252000,670009
GD520B,252013,669986
GD5221,253232,670863
GD523A,252901,670689
GD524U,252360,670660
GD526A,251530,670937
GD527U,251873,670957
GD528U,252056,671851
GD530U,251844,671182
GD532U,252834,671476
GD5351,252790,670532
GD537U,251951,670926
GD5401,251366,670337
GD545U,251861,670395
GD550U,251400,671794
GD555U,251914,670690
GD5601,251090,670690
GE0051,259019,666521
GE0101,259054,667279
GE015A,259075,667630
GE020A,259085,667783
GE025A,259086,667926
GE0271,258962,668085
GE0301,258917,668249
GE032A,258814,668717
GE0351,258742,669005
GE0401,259402,668215
GE0451,259837,668261
GE0501,259811,667262
GE052A,258543,669262
GE0551,258407,669481
GE060A,258411,668502
GE1801,260406,666831
GE1851,260414,666919
GE1901,260452,667157
GE1921,260933,667125
GE195A,261125,667145
GE2151,260359,667473
GE222A,260572,667697
GE225A,260159,668226
GE2271,260431,668131
GE2291,260804,667775
GE2301,260741,668014
GE2351,260762,669157
GE240A,260502,668884
GE245A,260555,669095
GE2501,260560,669300
GE255A,262262,668608
GE255B,262251,668612
GE270U,262799,668838
GF002A,260508,666278
GF005U,260687,666332
GF010U,260896,666387
GF0151,261197,666470
GF0161,261479,666612
GF017U,261838,666706
GF020U,262252,666966
GF0251,262843,667209
GF0301,263030,667246
GF035U,263040,666961
GF050U,263229,668668
GF051U,263241,668672
GF060U,263417,668450
GF061U,263423,668442
GF0651,263799,668504
GF0701,263866,668438
GF100U,261615,666922
GF1501,261387,666032
GF205A,262903,665998
GF210A,263039,666171
GF215A,263248,666451
GF2201,263371,666607
GF2251,263451,666711
GF285U,263797,667206
GF3051,264719,667723
GG0021,260615,665873
GG005A,260793,665783
GG010A,261063,665689
GG012A,261403,665589
GG015A,261547,665562
GG0171,261729,665529
GG0221,261716,665385
GG0251,261916,665498
GG0271,261656,665801
GG030A,262159,665459
GG0351,262453,665437
GG0401,262532,665544
GG045U,262504,665868
GG050A,262650,665692
GG0601,263527,665456
GG0621,263842,665450
GG063U,263031,665133
GG064U,264424,665309
GG065A,264340,665402
GG065B,264343,665381
GG070U,264692,665340
GG070U,264692,665361
GG075U,265226,665334
GG080U,265603,665312
GG080U,265601,665330
GG090A,266336,665109
GG090B,266333,665090
GG0951,266758,664904
GG097U,266531,664811
GG1001,267326,664651
GG1051,265218,665826
GG1101,265162,666056
GG1151,265081,666221
GG1171,265009,666351
GG1201,264917,666541
GG125U,264686,666521
GG130U,264853,666804
GG137U,266082,666363
GG1551,266710,665687
GG1601,266899,665789
GG1751,267185,665976
GG180A,267036,665849
GG2001,260076,665239
GG2021,260220,665201
GG2051,260283,665185
GG210A,260521,665118
GG2151,260890,665023
GG220A,261069,665026
GG225A,261218,665029
GG230A,261392,665028
GG2351,261551,665011
GG240A,261940,664964
GG2501,262402,664894
GG2521,262566,664951
GG255A,262208,664907
GG2571,262440,664651
GG2581,262546,664592
GG2591,263098,664394
GG2601,263292,664354
GG2602,664330,263424
GG261U,263185,664297
GG2621,263770,664400
GG265U,264136,664357
GG267A,263594,664294
GG268A,263783,664260
GG2701,263968,664224
GG272A,264085,664205
GG2751,264288,664183
GG280A,264490,664165
GG2851,265194,664033
GG287U,264524,664265
GG2881,264642,664231
GG2891,264751,664238
GG291U,265160,664541
GG292U,265240,664603
GG293U,265275,664581
GG2941,264855,664234
GG2951,264845,664139
GG3001,264742,664161
GG3051,266585,663919
GG306A,267110,663886
GG306B,267122,663881
GG308U,267261,663916
GG309U,267269,663910
GG3101,267793,663905
GG315U,267968,663917
GG320U,268124,664037
GG3251,268313,664174
GG3252,268372,664166
GG330A,268181,664982
GG3321,268164,665114
GG335A,268118,664255
GG335B,268104,664242
GG3401,267938,664358
GG345U,268182,664672
GG3501,268192,664875
GG400A,267878,663368
GH002A,260041,664740
GH0101,260328,664758
GH0151,260737,664707
GH020A,260937,664650
GH025A,261318,664574
GH0301,261431,664552
GH0401,261417,664385
GH050A,261568,664522
GH0901,262535,664407
GH1001,261836,664449
GH1021,262197,664389
GH1051,262540,664188
GH108U,262809,664014
GH110A,262939,663931
GH115A,263221,663723
GH117U,263379,663560
GH1201,263841,663361
