From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GB0651,GB0701,D,GB0651,GB0701_D,FALSE,258662,664368,258634,664264
GB0751,GB0701,C,GB0751,GB0701_C,FALSE,258584,664045,258634,664264
GA0301,GA0351,C,GA0301,GA0351_C,FALSE,257969,666156,258164,666469
GD200A,GA0351,A,GD200A,GA0351_A,FALSE,258131,666585,258164,666469
GB0701,GB0751,T,GB0701,GB0751_T,FALSE,258634,664264,258584,664045
GK0051,GB0751,V,GK0051,GB0751_V,FALSE,258518,663770,258584,664045
GB1201,GB0751,S,GB1201,GB0751_S,FALSE,258922,663963,258584,664045
GB1101,GB105A,S,GB1101,GB105A_S,FALSE,259055,664373,258872,664429
GB105A,GB1101,A,GB105A,GB1101_A,FALSE,258872,664429,259055,664373
GB1371,GB1101,B,GB1371,GB1101_B,FALSE,259185,664292,259055,664373
GB1151,GB1101,C,GB1151,GB1101_C,FALSE,258996,664192,259055,664373
GB1101,GB1151,T,GB1101,GB1151_T,FALSE,259055,664373,258996,664192
GB1201,GB1151,V,GB1201,GB1151_V,FALSE,258922,663963,258996,664192
GB1321,GB1151,S,GB1321,GB1151_S,FALSE,259105,664138,258996,664192
GB1151,GB1201,D,GB1151,GB1201_D,FALSE,258996,664192,258922,663963
GB1271,GB1201,E,GB1271,GB1201_E,FALSE,258913,663626,258922,663963
GB0751,GB1201,A,GB0751,GB1201_A,FALSE,258584,664045,258922,663963
GB1281,GB1271,C,GB1281,GB1271_C,FALSE,258890,663458,258913,663626
GB1551,GB1271,B,GB1551,GB1271_B,FALSE,259196,663660,258913,663626
GB1301,GB1271,D,GB1301,GB1271_D,FALSE,258979,663951,258913,663626
GB1271,GB1281,L,GB1271,GB1281_L,FALSE,258913,663626,258890,663458
GJ2701,GB1281,K,GJ2701,GB1281_K,FALSE,258817,663155,258890,663458
GB1271,GB1301,V,GB1271,GB1301_V,FALSE,258913,663626,258979,663951
GB1321,GB1301,T,GB1321,GB1301_T,FALSE,259105,664138,258979,663951
GB1201,GB1301,R,GB1201,GB1301_R,FALSE,258922,663963,258979,663951
GB1201,GB1301,X,GB1201,GB1301_X,FALSE,258922,663963,258979,663951
GB1351,GB1321,M,GB1351,GB1321_M,FALSE,259298,664230,259105,664138
GB1301,GB1321,N,GB1301,GB1321_N,FALSE,258979,663951,259105,664138
GB1371,GB1351,A,GB1371,GB1351_A,FALSE,259185,664292,259298,664230
GB1321,GB1351,C,GB1321,GB1351_C,FALSE,259105,664138,259298,664230
GB145B,GB1351,B,GB145B,GB1351_B,FALSE,259600,664036,259298,664230
GA0651,GA0401,S,GA0651,GA0401_S,FALSE,258294,665584,258130,665622
GA0451,GA0401,T,GA0451,GA0401_T,FALSE,258154,665888,258130,665622
GA0151,GA0401,R,GA0151,GA0401_R,FALSE,258001,665649,258130,665622
GB1101,GB1371,R,GB1101,GB1371_R,FALSE,259055,664373,259185,664292
GB1351,GB1371,S,GB1351,GB1371_S,FALSE,259298,664230,259185,664292
GA5001,GB140A,M,GA5001,GB140A_M,FALSE,259447,664506,259382,664385
GB1351,GB140A,N,GB1351,GB140A_N,FALSE,259298,664230,259382,664385
GB1351,GB145A,R,GB1351,GB145A_R,FALSE,259298,664230,259602,664048
GB1601,GB145B,S,GB1601,GB145B_S,FALSE,259859,663869,259600,664036
